species	lineage	count
Embelia_ribes	ORYCO/IVANA	1
Drosera_capensis	DEL/TEKAY	1
Lindernia_brevidens	CRM	1
Hypericum_perforatum	GALADRIEL	1
Ipomoea_nil	GALADRIEL	1
Cannabis_Sativa	BIANCA	1
Eucalyptus_grandis	ATHILA	1
Arachis_ipaensis	IKEROS	1
Prunus_avium	CRM	1
Prunus_avium	DEL/TEKAY	1
Prunus_avium	REINA	1
Citrullus_lanatus	ANGELA	1
Cucumis_sativus	TORK/TAR	1
Populus_trychocarpa	GALADRIEL	1
Manihot_esculenta	CRM	1
Hevea_brasiliensis	BIANCA	1
Hevea_brasiliensis	GALADRIEL	1
Linum_usitatissimum	TAT	1
Eucalyptus_grandis	IKEROS	1
Citrus_sinensis	BIANCA	1
Citrus_sinensis	DEL/TEKAY	1
Gossypium_hirsutum	IKEROS	1
Theobroma_cacao	CRM	1
Theobroma_cacao	REINA	1
Tarenaya_hassleriana	DEL/TEKAY	1
Aethionema_arabicum	ANGELA	1
Aethionema_arabicum	TAT	1
Leavenworthia_alabamica	CRM	1
Leavenworthia_alabamica	DEL/TEKAY	1
Leavenworthia_alabamica	SIRE	1
Schrenkiella_parvula	DEL/TEKAY	1
Sisymbrium_irio	BIANCA	1
Brassica_rapa	DEL/TEKAY	1
Nelumbo_nucifera	GALADRIEL	1
Aquilegia_coerulea	BIANCA	1
Aquilegia_coerulea	IKEROS	1
Aquilegia_coerulea	ALE/RETROFIT	1
Elaeis_oleifera	DEL/TEKAY	1
Ananas_comosus	CRM	1
Ananas_comosus	IKEROS	1
Ananas_comosus	SIRE	1
Phyllostachys_edulis	ANGELA	1
Eragrostis_tef	CRM	1
Eragrostis_tef	TAT	1
Amborella_trichopoda	ANGELA	1
Selaginella_moellendorffii	DEL/TEKAY	1
Actinidia_deliciosa	ANGELA	1
Actinidia_deliciosa	BIANCA	1
Actinidia_deliciosa	IKEROS	1
Erigeron_canadensis	BIANCA	1
Erigeron_canadensis	CRM	1
Erigeron_canadensis	DEL/TEKAY	1
Solanum_tuberosum	IKEROS	1
Nicotiana_sylvestris	IKEROS	1
Capsicum_annuum	ANGELA	1
Capsicum_annuum	GALADRIEL	1
Utricularia_gibba	ATHILA	1
Utricularia_gibba	CRM	1
Utricularia_gibba	REINA	1
Utricularia_gibba	ALE/RETROFIT	1
Fraxinus_excelsior	GALADRIEL	1
Cicer_arietinum	TAT	1
Phaseolus_vulgaris	ATHILA	1
Phaseolus_vulgaris	IKEROS	1
Gossypioides_kirkii	ORYCO/IVANA	1
Gossypioides_kirkii	DEL/TEKAY	1
Gossypioides_kirkii	ALE/RETROFIT	1
Gossypioides_kirkii	REINA	1
Gossypium_hirsutum	SIRE	1
Lotus_japonicus	ANGELA	1
Pennisetum_glaucum	ALE/RETROFIT	1
Petunia_x_hybrida	ALE/RETROFIT	1
Physcomitrella_patens	DEL/TEKAY	1
Pisum_sativum	ATHILA	1
