species	lineage	count
Carica_papaya	ORYCO/IVANA	24
Solanum_tuberosum	TORK/TAR	24
Cicer_arietinum	REINA	24
Platycodon_grandiflorus	CRM	24
Lindernia_brevidens	BIANCA	24
Trichopus_zeylanicus_subsp_travancoricus	GALADRIEL	24
Oenanthe_javanica	BIANCA	24
Aquilaria_sinensis	ANGELA	24
Isoetes_engelmannii	ORYCO/IVANA	24
Boswellia_sacra	TORK/TAR	24
Dioscorea_zingiberensis	ATHILA	24
Rhizophora_apiculata	SIRE	24
Brassica_napus	CRM	24
Beta_vulgaris	ATHILA	24
Solanum_lycopersicum	BIANCA	23
Picea_abies	ORYCO/IVANA	23
Arabidopsis_thaliana	CRM	23
Xerophyta_viscosa	CRM	23
Handroanthus_impetiginosus	REINA	23
Rosa_lucieae	ORYCO/IVANA	23
Rhizophora_apiculata	GALADRIEL	23
Brassica_napus	DEL/TEKAY	23
Phaseolus_vulgaris	TORK/TAR	23
Citrus_sinensis	TAT	23
Tarenaya_hassleriana	ORYCO/IVANA	23
Musa_acuminata	SIRE	23
Capsicum_annuum	TAT	23
Olea_europaea	ANGELA	23
Nelumbo_nucifera	TORK/TAR	22
Cicer_arietinum	SIRE	22
Kalanchoe_fedtschenkoi	ORYCO/IVANA	22
Eschscholzia_californica_subsp_californica	BIANCA	22
Fagopyrum_tataricum	ATHILA	22
Platycodon_grandiflorus	ORYCO/IVANA	22
Hypericum_perforatum	DEL/TEKAY	22
Ipomoea_nil	BIANCA	22
Gossypium_hirsutum	GALADRIEL	22
Phaseolus_vulgaris	ORYCO/IVANA	22
Vitis_vinifera	SIRE	21
Arabidopsis_thaliana	DEL/TEKAY	21
Arachis_ipaensis	REINA	21
Theobroma_cacao	TORK/TAR	21
Durio_zibethinus	ALE/RETROFIT	21
Datisca_glomerata	ORYCO/IVANA	21
Argania_spinosa	REINA	21
Aquilaria_sinensis	ATHILA	21
Mimulus_guttatus	DEL/TEKAY	21
Phyllostachys_edulis	SIRE	21
Phaseolus_vulgaris	REINA	21
Vitis_vinifera	GALADRIEL	20
Schrenkiella_parvula	TORK/TAR	20
Picea_abies	TORK/TAR	20
Arabidopsis_lyrata_subsp_lyrata	ATHILA	20
